央视频道,#genre#
河南新闻,http://123.10.79.189:808/hls/22/index.m3u8
河南梨园,http://123.10.79.189:808/hls/27/index.m3u8
河南法治,http://123.10.79.189:808/hls/20/index.m3u8
河南电视剧,http://123.10.79.189:808/hls/21/index.m3u8
漯河综合,http://123.10.79.189:808/hls/73/index.m3u8
炫动卡通,http://58.17.48.228:808/hls/38/index.m3u8
爱大剧,http://123.10.79.189:808/hls/101/index.m3u8
监控,http://123.10.79.189:808/hls/87/index.m3u8
经典电影,http://123.10.79.189:808/hls/79/index.m3u8
金鹰纪实,http://123.10.79.189:808/hls/72/index.m3u8
陕西农林,http://58.17.48.228:808/hls/50/index.m3u8
音乐现场,http://123.10.79.189:808/hls/85/index.m3u8
